added	servername	active	accepted	handled	total	reading	writing	waiting
1546190602	site	4	72770098	72768486	72759816	0	4	0
1546190602	proxy	114	66634173	66626684	73194598	0	4	110
1546190823	site	4	72776167	72774555	72765885	0	4	0
1546190823	proxy	89	66639519	66632030	73200708	0	4	85
1546190881	site	4	72777519	72775907	72767237	0	4	0
1546190881	proxy	92	66640702	66633213	73202071	0	4	88
1546190942	site	9	72779017	72777405	72768734	0	9	0
1546190942	proxy	100	66642036	66634547	73203583	0	10	90
1546191002	site	2	72782202	72780590	72771918	0	2	0
1546191002	proxy	102	66645015	66637526	73206785	0	4	97
1546191062	site	4	72785981	72784369	72775697	0	4	0
1546191062	proxy	124	66648559	66641070	73210582	0	5	119
1546191122	site	7	72789135	72787523	72778851	0	7	0
1546191122	proxy	124	66651498	66644009	73213746	0	7	117
1546191182	site	5	72792016	72790404	72781732	0	5	0
1546191182	proxy	123	66654144	66646655	73216641	0	7	116
1546191241	site	6	72794059	72792447	72783775	0	6	0
1546191242	proxy	125	66655964	66648475	73218698	0	5	120
1546191301	site	2	72796817	72795205	72786532	0	2	0
1546191301	proxy	181	66658509	66651020	73221464	0	2	179
1546191362	site	4	72799098	72797486	72788813	0	4	0
1546191362	proxy	125	66660573	66653084	73223755	0	5	120
1546191422	site	2	72801145	72799533	72790860	0	2	0
1546191422	proxy	146	66662486	66654997	73225815	0	2	144
1546191482	site	5	72803602	72801990	72793317	0	5	0
1546191482	proxy	178	66664491	66657002	73228281	0	8	170
1546191542	site	2	72805527	72803915	72795242	0	2	0
1546191542	proxy	145	66666255	66658766	73230210	0	2	143
1546191601	site	3	72808986	72807374	72798700	0	3	0
1546191601	proxy	92	66669557	66662068	73233682	0	3	89
1546191661	site	4	72812963	72811351	72802677	0	4	0
1546191661	proxy	98	66673352	66665863	73237667	0	4	94
1546191721	site	5	72816251	72814639	72805964	0	5	0
1546191721	proxy	101	66676495	66669006	73240969	0	7	94
1546191782	site	7	72818886	72817274	72808599	0	7	0
1546191782	proxy	96	66679017	66671528	73243619	0	6	90
1546191841	site	7	72820706	72819094	72810419	0	7	0
1546191841	proxy	86	66680702	66673213	73245449	0	6	80
1546191903	site	3	72823100	72821488	72812813	0	3	0
1546191903	proxy	119	66682957	66675468	73247859	0	4	115
1546191961	site	1	72824854	72823242	72814567	0	1	0
1546191961	proxy	110	66684536	66677047	73249629	0	1	109
1546192021	site	6	72826411	72824799	72816124	0	6	0
1546192021	proxy	102	66685903	66678414	73251197	0	6	96
1546192082	site	3	72827875	72826263	72817588	0	3	0
1546192082	proxy	88	66687190	66679701	73252673	0	1	87
1546192142	site	2	72829224	72827612	72818937	0	2	0
1546192142	proxy	89	66688347	66680858	73254033	0	3	86
1546192202	site	5	72832212	72830600	72821925	0	5	0
1546192202	proxy	119	66691156	66683667	73257032	0	5	114
1546192262	site	4	72835438	72833826	72825151	0	4	0
1546192262	proxy	107	66694229	66686740	73260275	0	4	103
1546192322	site	3	72838188	72836576	72827901	0	3	0
1546192322	proxy	84	66696813	66689324	73263033	0	3	80
1546192381	site	6	72840413	72838801	72830126	0	6	0
1546192381	proxy	117	66698866	66691377	73265267	0	6	111
1546192441	site	6	72842004	72840392	72831717	0	6	0
1546192441	proxy	93	66700258	66692769	73266868	0	6	87
1546192502	site	6	72844241	72842629	72833954	0	6	0
1546192502	proxy	95	66702324	66694835	73269117	0	7	88
1546192561	site	5	72845961	72844349	72835674	0	5	0
1546192561	proxy	106	66703832	66696343	73270848	0	6	100
1546192622	site	3	72847434	72845822	72837147	0	3	0
1546192622	proxy	86	66705109	66697620	73272329	0	3	83
1546192682	site	5	72848851	72847239	72838564	0	5	0
1546192682	proxy	93	66706359	66698870	73273756	0	6	87
1546192742	site	3	72850083	72848471	72839796	0	3	0
1546192742	proxy	90	66707423	66699934	73274998	0	4	86
1546192801	site	3	72852790	72851178	72842502	0	3	0
1546192801	proxy	80	66709972	66702483	73277717	0	3	77
1546192862	site	3	72856243	72854631	72845954	0	3	0
1546192862	proxy	98	66713243	66705754	73281178	0	2	96
1546192921	site	6	72858968	72857356	72848679	0	6	0
1546192921	proxy	96	66715767	66708278	73283918	0	5	91
1546192981	site	7	72861304	72859692	72851015	0	7	0
1546192981	proxy	109	66717820	66710331	73286264	0	7	102
1546193042	site	4	72862851	72861239	72852562	0	4	0
1546193042	proxy	94	66719049	66711560	73287818	0	4	90
1546193101	site	3	72865085	72863473	72854796	0	3	0
1546193101	proxy	126	66721000	66713511	73290062	0	5	121
1546193163	site	3	72866714	72865102	72856425	0	3	0
1546193163	proxy	101	66722385	66714896	73291701	0	3	98
1546193222	site	2	72868209	72866597	72857920	0	2	0
1546193222	proxy	119	66723706	66716217	73293208	0	1	118
1546193282	site	3	72869567	72867955	72859278	0	3	0
1546193282	proxy	93	66724913	66717424	73294577	0	3	90
1546193342	site	3	72870840	72869228	72860551	0	3	0
1546193342	proxy	97	66726002	66718513	73295856	0	3	94
1546193402	site	5	72874136	72872524	72863846	0	5	0
1546193402	proxy	104	66729115	66721626	73299163	0	6	98
1546193462	site	8	72877485	72875873	72867195	0	8	0
1546193462	proxy	109	66732250	66724761	73302524	0	8	101
1546193522	site	7	72880558	72878946	72870268	0	7	0
1546193522	proxy	114	66735113	66727624	73305611	0	7	107
1546193582	site	5	72883138	72881526	72872848	0	5	0
1546193582	proxy	104	66737482	66729993	73308203	0	6	98
1546193641	site	5	72885036	72883424	72874745	0	5	0
1546193641	proxy	91	66739163	66731674	73310109	0	5	86
1546193702	site	5	72887805	72886193	72877514	0	5	0
1546193702	proxy	135	66741694	66734205	73312890	0	4	131
1546193762	site	4	72890036	72888424	72879745	0	4	0
1546193762	proxy	116	66743704	66736215	73315130	0	4	112
1546193822	site	3	72892041	72890429	72881750	0	3	0
1546193822	proxy	118	66745537	66738048	73317151	0	8	110
1546193881	site	3	72894101	72892489	72883810	0	3	0
1546193881	proxy	97	66747289	66739800	73319212	0	3	94
1546193942	site	13	72896269	72894657	72885978	0	13	0
1546193942	proxy	133	66749094	66741605	73321396	0	15	118
1546194002	site	2	72900001	72898389	72889710	0	2	0
1546194002	proxy	128	66752629	66745140	73325140	0	3	125
1546194062	site	2	72903795	72902183	72893504	0	2	0
1546194062	proxy	101	66756246	66748757	73328943	0	2	99
1546194121	site	5	72907183	72905571	72896892	0	5	0
1546194121	proxy	124	66759473	66751984	73332346	0	5	119
1546194181	site	8	72909921	72908309	72899630	0	8	0
1546194181	proxy	88	66762052	66754563	73335097	0	9	79
1546194242	site	4	72911820	72910208	72901529	0	4	0
1546194242	proxy	99	66763816	66756327	73337004	0	4	95
1546194301	site	1	72914361	72912749	72904069	0	1	0
1546194301	proxy	128	66766201	66758712	73339555	0	2	126
1546194362	site	2	72916324	72914712	72906032	0	2	0
1546194362	proxy	126	66767953	66760464	73341527	0	2	124
1546194422	site	1	72917902	72916290	72907610	0	1	0
1546194422	proxy	115	66769360	66761871	73343116	0	2	113
1546194481	site	4	72919362	72917750	72909070	0	4	0
1546194481	proxy	98	66770644	66763155	73344585	0	5	93
1546194542	site	4	72920651	72919039	72910359	0	4	0
1546194542	proxy	93	66771749	66764260	73345882	0	4	89
1546194602	site	5	72923741	72922129	72913449	0	5	0
1546194602	proxy	109	66774655	66767166	73348981	0	5	104
1546194662	site	3	72927165	72925553	72916873	0	3	0
1546194662	proxy	113	66777876	66770387	73352414	0	4	109
1546194722	site	25	72929927	72928315	72919635	0	25	0
1546194722	proxy	124	66780469	66772980	73355189	0	28	95
1546194782	site	6	72932115	72930503	72921823	0	6	0
1546194782	proxy	123	66782492	66775003	73357387	0	6	117
1546194842	site	7	72933614	72932002	72923322	0	7	0
1546194842	proxy	116	66783818	66776329	73358898	1	6	109
1546194901	site	13	72935829	72934217	72925537	0	13	0
1546194901	proxy	121	66785840	66778351	73361123	0	13	108
1546194962	site	3	72937537	72935925	72927245	0	3	0
1546194962	proxy	85	66787329	66779840	73362841	0	3	82
1546195021	site	7	72939043	72937431	72928751	0	7	0
1546195021	proxy	126	66788647	66781158	73364362	3	5	118
1546195081	site	9	72940418	72938806	72930126	0	9	0
1546195081	proxy	92	66789846	66782357	73365740	0	9	83
1546195142	site	2	72941751	72940139	72931455	0	2	0
1546195142	proxy	99	66790998	66783509	73367084	0	3	96
1546195201	site	2	72944521	72942909	72934225	0	2	0
1546195201	proxy	101	66793623	66786134	73369864	0	2	99
1546195262	site	4	72947957	72946345	72937661	0	4	0
1546195262	proxy	89	66796883	66789394	73373313	0	4	85
1546195322	site	3	72950745	72949133	72940449	0	3	0
1546195322	proxy	107	66799512	66792023	73376110	0	3	104
1546195382	site	3	72953039	72951427	72942742	0	2	1
1546195382	proxy	102	66801607	66794118	73378414	0	4	98
1546195441	site	5	72954563	72952951	72944267	0	5	0
1546195441	proxy	116	66802871	66795382	73379950	0	6	109
1546195502	site	4	72956860	72955248	72946564	0	4	0
1546195502	proxy	114	66804863	66797374	73382257	0	4	110
1546195563	site	2	72958574	72956962	72948278	0	2	0
1546195563	proxy	126	66806288	66798799	73383986	0	2	124
1546195621	site	3	72960022	72958410	72949726	0	3	0
1546195621	proxy	106	66807526	66800037	73385444	0	3	103
1546195681	site	1	72961440	72959828	72951144	0	1	0
1546195681	proxy	91	66808771	66801282	73386879	0	2	89
1546195742	site	3	72962766	72961154	72952469	0	3	0
1546195742	proxy	109	66809936	66802447	73388214	0	4	105
1546195802	site	2	72965983	72964371	72955686	0	2	0
1546195802	proxy	117	66812985	66805496	73391444	0	7	110
1546195862	site	5	72969363	72967751	72959066	0	5	0
1546195862	proxy	116	66816109	66808620	73394828	0	5	111
1546195921	site	7	72972410	72970798	72962113	0	7	0
1546195921	proxy	103	66818935	66811446	73397886	0	7	96
1546195982	site	7	72975059	72973447	72964762	0	7	0
1546195982	proxy	106	66821385	66813896	73400547	0	6	100
1546196042	site	6	72976940	72975328	72966643	0	6	0
1546196042	proxy	90	66823050	66815561	73402436	0	6	84
1546196101	site	4	72979673	72978061	72969376	0	4	0
1546196101	proxy	115	66825571	66818082	73405184	0	3	112
1546196162	site	3	72981915	72980303	72971618	0	3	0
1546196162	proxy	102	66827570	66820081	73407435	0	1	101
1546196222	site	5	72983999	72982387	72973702	0	5	0
1546196222	proxy	109	66829448	66821959	73409531	0	9	100
1546196282	site	6	72986021	72984409	72975724	0	6	0
1546196282	proxy	109	66831249	66823760	73411561	0	6	103
1546196342	site	3	72988025	72986413	72977728	0	3	0
1546196342	proxy	122	66832971	66825482	73413576	0	4	118
1546196402	site	3	72991917	72990305	72981620	0	3	0
1546196402	proxy	104	66836546	66829057	73417480	0	3	101
1546196462	site	3	72995805	72994193	72985508	0	3	0
1546196462	proxy	123	66840209	66832720	73421383	0	4	119
1546196521	site	1	72999054	72997442	72988757	0	1	0
1546196522	proxy	77	66843305	66835816	73424642	0	1	76
1546196581	site	1	73001805	73000193	72991508	0	1	0
1546196581	proxy	72	66845913	66838424	73427401	0	2	70
1546196642	site	2	73003688	73002076	72993390	0	2	0
1546196642	proxy	88	66847664	66840175	73429295	0	2	86
1546196701	site	4	73006244	73004632	72995946	0	4	0
1546196701	proxy	101	66850083	66842594	73431860	0	3	98
1546196762	site	6	73008198	73006586	72997900	0	6	0
1546196762	proxy	103	66851867	66844378	73433827	0	7	96
1546196821	site	5	73009889	73008277	72999591	0	5	0
1546196821	proxy	111	66853357	66845868	73435530	0	5	106
1546196882	site	3	73011472	73009860	73001174	0	3	0
1546196882	proxy	99	66854776	66847287	73437125	0	3	96
1546196942	site	4	73012788	73011176	73002490	0	4	0
1546196942	proxy	88	66855928	66848439	73438450	0	5	83
1546197001	site	6	73015679	73014067	73005381	0	6	0
1546197001	proxy	112	66858618	66851129	73441352	0	6	106
1546197061	site	5	73019123	73017511	73008825	0	5	0
1546197061	proxy	79	66861871	66854382	73444807	0	5	74
1546197121	site	1	73021969	73020357	73011671	0	1	0
1546197122	proxy	96	66864558	66857069	73447672	0	12	84
1546197181	site	5	73024747	73023135	73014449	0	5	0
1546197181	proxy	102	66867154	66859665	73450450	0	5	97
1546197242	site	5	73026553	73024941	73016255	0	5	0
1546197242	proxy	83	66868819	66861330	73452270	0	6	77
1546197303	site	5	73028999	73027387	73018701	0	5	0
1546197303	proxy	97	66871089	66863600	73454727	0	8	89
1546197362	site	3	73030908	73029296	73020610	0	3	0
1546197362	proxy	94	66872810	66865321	73456643	0	3	91
1546197422	site	4	73032533	73030921	73022235	0	4	0
1546197422	proxy	95	66874239	66866750	73458280	0	6	89
1546197481	site	5	73034249	73032637	73023951	0	5	0
1546197481	proxy	88	66875772	66868283	73460005	0	5	83
1546197542	site	4	73035786	73034174	73025488	0	4	0
1546197542	proxy	108	66877119	66869630	73461553	0	5	101
1546197602	site	57	73039250	73037638	73028951	0	56	1
1546197602	proxy	112	66880394	66872905	73465027	0	1	111
1546197661	site	5	73042745	73041133	73032447	0	5	0
1546197661	proxy	90	66883711	66876222	73468530	0	5	85
1546197722	site	7	73045889	73044277	73035591	0	7	0
1546197722	proxy	86	66886685	66879196	73471686	0	7	79
1546197782	site	3	73048411	73046799	73038113	0	3	0
1546197782	proxy	87	66889028	66881539	73474218	0	4	83
1546197842	site	5	73050306	73048694	73040008	0	5	0
1546197842	proxy	125	66890722	66883233	73476134	0	5	120
1546197901	site	2	73052898	73051286	73042600	0	2	0
1546197901	proxy	105	66893049	66885560	73478737	0	2	103
1546197962	site	5	73054988	73053376	73044690	0	5	0
1546197962	proxy	106	66894840	66887351	73480838	0	4	102
1546198021	site	8	73056769	73055157	73046471	0	8	0
1546198021	proxy	126	66896337	66888848	73482633	0	8	118
1546198082	site	6	73058501	73056889	73048203	0	6	0
1546198082	proxy	99	66897842	66890353	73484377	0	5	94
1546198141	site	4	73060006	73058394	73049708	0	4	0
1546198141	proxy	97	66899170	66891681	73485895	0	4	93
1546198201	site	3	73063205	73061593	73052907	0	3	0
1546198201	proxy	106	66902210	66894721	73489108	0	5	101
1546198262	site	4	73067319	73065707	73057021	0	4	0
1546198262	proxy	93	66906146	66898657	73493229	0	4	89
1546198321	site	7	73070489	73068877	73060191	0	7	0
1546198321	proxy	95	66909113	66901624	73496412	0	7	88
1546198382	site	13	73073173	73071561	73062874	0	13	0
1546198382	proxy	127	66911578	66904089	73499115	0	8	119
1546198442	site	5	73075316	73073704	73065017	0	5	0
